,Unnamed: 0,filename,names,counts
0,1,Zm0ZD559mZCjx85k06XXFXygd7mE62udwPVR,['Unknown'],"{""modi"": 1}"
1,2,6P0OR443POT74XKY1x22TWkdRxBrgbujgPK8,['Unknown'],"{""gandhi"": 1}"
2,3,8rZK0YYLrKU4BdrywPEESGR1WY4PW1Sv4Z4P,['kejriwal'],"{""kejriwal"": 4}"
3,4,RV4L655WVLI9EjP0r2ppHd25Lo42AxIw22xk,['Unknown'],"{""kejriwal"": 4}"
0,0,E5Kygoop5yCo58QGE9LLTw3BR4LZGksxNk9e,['modi'],"{""modi"": 1}"
1,1,4rAQ0LLGrQUKdw6yVXpphPl2KZWOe6CN1d7r,['Unknown'],"{""gandhi"": 1}"
2,2,Y7wdD55E7dtRp5PD0OeeClW1P6X529IvYvg6,['Unknown'],"{""modi"": 2}"
3,3,pPGjB00lPjTdywNrOpZZTpyBKQBBR5Cd3QXo,"['Unknown', 'Unknown']","{""kejriwal"": 5}"
4,4,Gr1lK55brlUrmpZ0YX44TjJ2E640ybU3rWbY,"['Unknown', 'Unknown']","{""kejriwal"": 1}"
5,5,Zm0ZD559mZCjx85k06XXFXygdlZ1y7UdwPJj,"['kejriwal', 'kejriwal', 'Unknown', 'modi', 'modi', 'kejriwal']","{""kejriwal"": 1}"
6,6,vP4j5223PjTGjVkr9pBBuEL4DXn695IXO1r8,['gandhi'],"{""gandhi"": 2}"
0,0,eBXZeVVpBZTJbKDQjVEETgENxLNQRkfmy06r,['Unknown'],"{""kejriwal"": 2}"
1,1,9rpw0QQErwU5RVAmKGQQIkveOp10XXhVYRnZ,"['modi', 'kejriwal']","{""kejriwal"": 2}"
2,2,doeN733ZoNtXepVOb3LLfVN2v03kERIQ5E4X,['gandhi'],"{""gandhi"": 1}"
3,3,vP4j5223PjTGjVkr9pBBuEL4DPmy9gHXO7XX,"['Unknown', 'kejriwal']","{""kejriwal"": 1}"
4,4,5rwR5EEnrRUd0X6N2Z11T27NQoppWBhp5p43,['Unknown'],"{""modi"": 2}"
5,5,rP3JlZZWPJTpPx64ve88FmDB6gxWv2tEV4ZG,['Unknown'],"{""kejriwal"": 1}"
6,6,6P0OR443POT74XKY1x22TWk829oNYNfjgPjj,['Unknown'],"{""yadav"": 1, ""owaisi"": 1}"
7,8,kP1KwQQdPKTv7xKeRJmmTW1mb84RnZsKrv3Z,['modi'],"{""modi"": 5}"
8,9,lP5KZ77ePKTY8bQ6EpAATb4w3kl80LFmnbxK,"['Unknown', 'kejriwal']","{""kejriwal"": 2}"
7,7,WYmQD55VYQFAJLmeK5BBspelE8BKRdtlxl4J,"['yadav', 'modi']","{""modi"": 2}"
8,8,7PjR5NNVPRT5D6dQRmOOIkLjvJGBKnupxQPG,"['kejriwal', 'Unknown', 'yadav']","{""yadav"": 2}"
0,0,wPNGm99VPGTEv5P09kddTRZbYYjAmEhLGAjQ,['kejriwal'],"{""kejriwal"": 1}"
4,5,BgJDK880gDUv18KebL99TRJxeE51gZC4YWOJ,"['kejriwal', 'Unknown', 'Unknown']","{""kejriwal"": 1}"
5,6,Gr1lK55brlUrmpZ0YX44TjJgXmlwkYt34l5e,"['Unknown', 'Unknown']","{""yadav"": 1}"
6,7,kP1KwQQdPKTv7xKeRJmmTW1mJ3pk8YSKj6P9,"['Unknown', 'modi']","{""modi"": 1}"
7,8,geyK7EEbeKcKLjdR2EkkhLG31J7nXoFOd1gL,['Unknown'],"{""kejriwal"": 4}"
8,9,11QA4nnK1AHERwnV6AyyTblPdrp1x4sN5b4d,"['gandhi', 'Unknown']","{""gandhi"": 5}"
0,0,xPYr5BBLPrTOx6PADjeeuXd1Ekgoryc3VJeD,['modi'],"{""modi"": 2}"
1,1,LrGd655erdUnvoOAQlmmi2NGDLPjlDTK1lAR,"['Unknown', 'kejriwal']","{""kejriwal"": 1}"
2,2,Q3E26DDK32H4o28v3AZZSXpBAd3We4tZp7VG,['Unknown'],"{""owaisi"": 1}"
3,3,geyK7EEbeKcKLjdR2EkkhLGlrQRrxBUOkOn3,['kejriwal'],"{""kejriwal"": 2}"
4,4,E5Kygoop5yCo58QGE9LLTw3B7789QEhx4pQ3,['Unknown'],"{""kejriwal"": 2}"
5,5,vP4j5223PjTGjVkr9pBBuELBoyykvPhXBPPQ,['kejriwal'],"{""kejriwal"": 1}"
6,6,rP3JlZZWPJTpPx64ve88FmDV9p3K6dHEyKd4,['modi'],"{""modi"": 5, ""gandhi"": 3}"
7,7,E5Kygoop5yCo58QGE9LLTw3mvDjEKnsx998Y,['kejriwal'],"{""kejriwal"": 1, ""owaisi"": 1}"
8,8,a052460_1685638119272,['Unknown'],"{""modi"": 1}"
9,9,Gr1lK55brlUrmpZ0YX44TjJ2E4b9YLS34kwr,"['modi', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'gandhi', 'Unknown']","{""gandhi"": 5}"
0,0,rP3JlZZWPJTpPx64ve88FmDB3R4y0OTEPld5,['Unknown'],"{""kejriwal"": 3}"
1,1,019LEGGl1LHm41w3QB77sy39XyLKxkHEWlwK,['kejriwal'],"{""kejriwal"": 6, ""yadav"": 1, ""owaisi"": 1}"
2,2,4rAQ0LLGrQUKdw6yVXpphPl2ex77XYCNj2x1,"['kejriwal', 'Unknown', 'gandhi', 'gandhi', 'Unknown']","{""gandhi"": 1}"
3,3,VN7YD553NYHmJ1Qn3xooseZOjbx9BxtkpdnY,['Unknown'],"{""kejriwal"": 2}"
4,4,oPvXdwwyPXT1rP6o0DjjTwZ26oy8VBIljrp9,['Unknown'],"{""yadav"": 2}"
5,5,8rZK0YYLrKU4BdrywPEESGR1J4gN0rIvXX1y,"['Unknown', 'kejriwal']","{""kejriwal"": 5}"
6,6,yPQ3oWWEP3Tekd2ZX399up39ANrNW3sY4g5l,['Unknown'],"{""modi"": 1}"
7,7,yPQ3oWWEP3Tekd2ZX399up395yGn3dSYx003,['Unknown'],"{""kejriwal"": 1}"
8,8,Krvo655droUGWvZ8be77ukE86Bb8NWiBvDkn,['kejriwal'],"{""kejriwal"": 3}"
9,9,rP3JlZZWPJTpPx64ve88FmDA5kEO5xhEY6jN,['kejriwal'],"{""kejriwal"": 4}"
0,0,geyK7EEbeKcKLjdR2EkkhLGlDdjw9yfO4gje,['Unknown'],"{""kejriwal"": 5}"
1,2,wPNGm99VPGTEv5P09kddTRZbpjKB7DtLGJyw,['Unknown'],"{""modi"": 1}"
2,3,XQAbDkkLQbiw0GnWg9ddIDNnVlDJNeSlprgm,['kejriwal'],"{""kejriwal"": 2}"
3,4,xPYr5BBLPrTOx6PADjeeuXdKeyPbR5t3eVdA,['Unknown'],"{""kejriwal"": 1}"
4,5,bb947GG0b4HRkWoKYO33CX0mkWgmO6hvpLOE,"['kejriwal', 'kejriwal', 'kejriwal', 'Unknown', 'gandhi', 'yadav', 'kejriwal']","{""kejriwal"": 5, ""modi"": 1}"
5,6,Gr1lK55brlUrmpZ0YX44TjJgXmm34Rc3rNmQ,['Unknown'],"{""kejriwal"": 5, ""modi"": 1}"
6,7,6P0OR443POT74XKY1x22TWk86ekkGdHjd6ee,['modi'],"{""modi"": 1}"
7,8,rP3JlZZWPJTpPx64ve88FmDV9OXvo5HEY6jN,['kejriwal'],"{""kejriwal"": 2}"
8,9,WYmQD55VYQFAJLmeK5BBsperABZ35Vfl1m5w,['Unknown'],"{""kejriwal"": 1}"
0,0,Nv3d655JvdTVOZ1ly0wwTvZgWRl62RfANo2n,['gandhi'],"{""gandhi"": 1}"
1,1,yPQ3oWWEP3Tekd2ZX399up3Y8Q83yviYDXdE,"['kejriwal', 'kejriwal', 'Unknown', 'Unknown']","{""kejriwal"": 5}"
2,2,5rwR5EEnrRUd0X6N2Z11T2784NR4JeFpmDvP,['Unknown'],"{""modi"": 1}"
3,3,oPvXdwwyPXT1rP6o0DjjTwZ2dWpBXlfljPrO,['modi'],"{""modi"": 1}"
4,4,Y7wdD55E7dtRp5PD0OeeClWey4O6Z6Cv9Krv,['owaisi'],"{""kejriwal"": 1, ""owaisi"": 3}"
5,5,2r7wN33WrwU5Xd0L7PbbIKZY8b83nEup5Ky4,['modi'],"{""modi"": 1, ""gandhi"": 1}"
6,6,5rwR5EEnrRUd0X6N2Z11T27800OZjXip1wDr,"['Unknown', 'Unknown']","{""modi"": 4}"
7,7,8rZK0YYLrKU4BdrywPEESGRLQob5LOTv4eLL,['Unknown'],"{""kejriwal"": 1}"
8,8,7PjR5NNVPRT5D6dQRmOOIkLN9b9d2VUpxQpO,['kejriwal'],"{""kejriwal"": 2, ""gandhi"": 1}"
9,9,OGV76559G7iLOWp75K00TmAd74LPjGHVYPkp,"['Unknown', 'Unknown']","{""kejriwal"": 2, ""modi"": 1}"
0,0,mPRdKmmXPdTZlxY4GekkTyYOeVAlmwtlggpo,['Unknown'],"{""modi"": 1, ""gandhi"": 2}"
1,7,Gr1lK55brlUrmpZ0YX44TjJgXWmp92h343j6,['Unknown'],"{""modi"": 1, ""gandhi"": 2}"
2,8,PnL2655ln2sEvKxmDZjjTWbOVX35XmsQWA1A,['Unknown'],"{""modi"": 1}"
3,9,kP1KwQQdPKTv7xKeRJmmTW1N0APYZAsK2wG0,['Unknown'],"{""yadav"": 3}"
4,10,BgJDK880gDUv18KebL99TRJGygAxKDU4Y74J,['gandhi'],"{""gandhi"": 6}"
5,11,eBXZeVVpBZTJbKDQjVEETgERZKPjbnCmkAve,['Unknown'],"{""gandhi"": 1}"
6,12,lP5KZ77ePKTY8bQ6EpAATb4wx5AjpbUmvxVE,['Unknown'],"{""gandhi"": 1}"
7,13,kP1KwQQdPKTv7xKeRJmmTW1mbAELrEFKjOJB,['Unknown'],"{""gandhi"": 1}"
8,14,bb947GG0b4HRkWoKYO33CX0mkWWxwWhvZlYm,['kejriwal'],"{""kejriwal"": 1, ""owaisi"": 1}"
9,15,lP5KZ77ePKTY8bQ6EpAATb4GPjBR8pUmRvZN,['Unknown'],"{""modi"": 4, ""gandhi"": 1}"
10,16,Gr1lK55brlUrmpZ0YX44TjJ26edDmvH343DG,['Unknown'],"{""modi"": 1}"
11,17,geyK7EEbeKcKLjdR2EkkhLG8P840PdTOmnZ6,['Unknown'],"{""owaisi"": 1}"
12,18,OGV76559G7iLOWp75K00TmAdR28Yg4FVYg4A,"['Unknown', 'Unknown']","{""gandhi"": 1}"
0,0,RV4L655WVLI9EjP0r2ppHd2oyD21owTwoVRo,['modi'],"{""modi"": 5}"
1,1,Nv3d655JvdTVOZ1ly0wwTvZ4Vbyvp3CAk22D,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'modi', 'modi', 'Unknown', 'Unknown']","{""modi"": 1}"
2,2,VN7YD553NYHmJ1Qn3xooseZV6R0YmAFkLApx,"['modi', 'Unknown', 'Unknown']","{""modi"": 4, ""gandhi"": 2}"
3,3,E5Kygoop5yCo58QGE9LLTw3B7LZlLDFxoevj,['Unknown'],"{""owaisi"": 1}"
4,4,geyK7EEbeKcKLjdR2EkkhLGJw4GrDJfOkQo4,['Unknown'],"{""kejriwal"": 1}"
5,5,5rwR5EEnrRUd0X6N2Z11T278JAyRZ0cpmBro,['gandhi'],"{""gandhi"": 1}"
6,7,wPNGm99VPGTEv5P09kddTRZwjZ6nWphL8yg5,"['Unknown', 'Unknown']","{""kejriwal"": 3}"
7,8,Drldx22ZrdUpXW2ENbPPFAK0gvpeypfwdmop,"['Unknown', 'Unknown']","{""kejriwal"": 3}"
8,9,OGV76559G7iLOWp75K00TmAdGKyX7kiVr5yV,['Unknown'],"{""kejriwal"": 3}"
0,0,2r7wN33WrwU5Xd0L7PbbIKZrWJRpKWspBGZl,"['Unknown', 'kejriwal', 'modi']","{""kejriwal"": 1, ""modi"": 5}"
1,1,oPvXdwwyPXT1rP6o0DjjTwZ26nXj1lulv4PQ,"['gandhi', 'modi']","{""modi"": 1, ""gandhi"": 1}"
2,3,019LEGGl1LHm41w3QB77sy3D4o19NptEw92o,"['Unknown', 'Unknown']","{""modi"": 1}"
3,5,xPYr5BBLPrTOx6PADjeeuXdKrL56AvC3pLlQ,"['Unknown', 'Unknown']","{""gandhi"": 1}"
4,6,RV4L655WVLI9EjP0r2ppHd2ZGelZ5KUwd6er,['Unknown'],"{""modi"": 2}"
5,8,pPGjB00lPjTdywNrOpZZTpyBKDdP2BCd1WYJ,['Unknown'],"{""modi"": 1}"
6,9,lP5KZ77ePKTY8bQ6EpAATb4w3kl80LFmoOyY,['Unknown'],"{""modi"": 1}"
0,0,8rZK0YYLrKU4BdrywPEESGR1JrwgYOUvmROm,"['kejriwal', 'Unknown']","{""kejriwal"": 1}"
1,1,VN7YD553NYHmJ1Qn3xooseZOYpxKkbHkp63b,"['Unknown', 'Unknown', 'modi']","{""modi"": 1, ""gandhi"": 1}"
2,2,XQAbDkkLQbiw0GnWg9ddIDNdwQ1wkLilB0ox,['Unknown'],"{""yadav"": 1}"
3,3,yPQ3oWWEP3Tekd2ZX399up3yKoWRnnsYxwnZ,['Unknown'],"{""gandhi"": 1}"
4,4,5rwR5EEnrRUd0X6N2Z11T278GmLRJmfp5p0p,['Unknown'],"{""gandhi"": 1}"
5,5,PnL2655ln2sEvKxmDZjjTWb4QWJbYXfQ8gy8,"['Unknown', 'Unknown']","{""modi"": 1}"
6,6,ArXogppwroUVpeDRgbGGTJkm4yZNVouNy52O,['kejriwal'],"{""kejriwal"": 1}"
7,7,5rwR5EEnrRUd0X6N2Z11T27NV6Kj0mSp5kOe,['Unknown'],"{""gandhi"": 1}"
8,8,kP1KwQQdPKTv7xKeRJmmTW13kp9PgvTKgYeg,['Unknown'],"{""gandhi"": 5}"
9,9,9rpw0QQErwU5RVAmKGQQIkve97gBPxfVbxVl,"['Unknown', 'Unknown', 'Unknown', 'Unknown']","{""kejriwal"": 1}"
10,10,RV4L655WVLI9EjP0r2ppHd25PydWxnfwDJdw,"['Unknown', 'modi']","{""modi"": 4}"
11,11,8rZK0YYLrKU4BdrywPEESGR1WkGmRdHvOdbB,['Unknown'],"{""kejriwal"": 5, ""modi"": 1}"
12,12,6P0OR443POT74XKY1x22TWk8lR50jNujgPGY,['Unknown'],"{""kejriwal"": 5, ""modi"": 1}"
13,13,yPQ3oWWEP3Tekd2ZX399up3bORBynGIYx00g,"['yadav', 'Unknown', 'kejriwal']","{""kejriwal"": 6}"
14,14,XQAbDkkLQbiw0GnWg9ddIDNnZkyJOEulDj8Y,['Unknown'],"{""kejriwal"": 6}"
